"","phon","freq","freq_log10","nd","pp"
"15962","IH_N_S_T_IH_G_EY_SH_AH_N",0.101873359393218,0.0421316830119709,0,0.0096057072384159
"15963","IH_N_S_T_IH_L",0.101873359393218,0.0421316830119709,2,0.00830757983169357
"15964","IH_N_S_T_IH_L_D",0.509366796966089,0.178794792155304,2,0.00736008734509093
"15965","IH_N_S_T_IH_L_IH_NG",0.101873359393218,0.0421316830119709,1,0.00907380885380649
"15966","IH_N_S_T_IH_NG_K_T",3.25994750058297,0.629404246908444,2,0.00886194640434698
"15967","IH_N_S_T_IH_NG_K_T_IH_V",0.509366796966089,0.178794792155304,0,0.00809445505768088
"15968","IH_N_S_T_IH_NG_K_T_IH_V_L_IY",0.407493437572871,0.148446378633484,0,0.00742596782391966
"15969","IH_N_S_T_IH_NG_K_T_S",1.42622703150505,0.384931437056767,1,0.00857154958218028
"15970","IH_N_S_T_R_AH_K_SH_AH_N",9.06672898599639,1.00288837679947,1,0.0107627733442443
"15971","IH_N_S_T_R_AH_K_SH_AH_N_AH_L",0.101873359393218,0.0421316830119709,0,0.0110972477357435
"15972","IH_N_S_T_R_AH_K_SH_AH_N_Z",19.7634317222843,1.31729913409366,1,0.0102205716565746
"15973","IH_N_S_T_R_AH_K_T",2.54683398483045,0.549840861108146,2,0.00830793653250923
"15974","IH_N_S_T_R_AH_K_T_AH_D",3.66744093815584,0.669078831089183,0,0.00866381891796147
"15975","IH_N_S_T_R_AH_K_T_ER",2.95432742240332,0.597072626499097,3,0.00808554249146745
"15976","IH_N_S_T_R_AH_K_T_ER_Z",1.42622703150505,0.384931437056767,1,0.00770965414443484
"15977","IH_N_S_T_R_AH_K_T_IH_NG",0.305620078179653,0.115816820159466,1,0.00921033609099923
"15978","IH_N_S_T_R_AH_K_T_IH_V",0.611240156359307,0.207160277109702,1,0.00766355849069596
"15979","IH_N_S_T_R_AH_K_T_S",0.305620078179653,0.115816820159466,2,0.00808679094432225
"15980","IH_N_S_T_R_AH_M_AH_N_T",5.39928804784054,0.806131659281789,1,0.0122741642419631
"15981","IH_N_S_T_R_AH_M_AH_N_T_S",6.21427492298629,0.858192688475947,1,0.0117006250004682
"15982","IH_N_S_T_R_AH_M_EH_N_T_AH_L",1.22248031271861,0.346837922571143,0,0.0101734607206202
"15983","IH_N_S_T_R_AH_M_EH_N_T_AH_L_AH_S_T_S",0.203746718786436,0.0805351163196006,0,0.0101236625844755
"15984","IH_N_S_T_R_AH_M_EH_N_T_EY_SH_AH_N",0.713113515752525,0.233786141501144,0,0.0099546636830308
"15985","IH_N_SH_AO_R",0.101873359393218,0.0421316830119709,3,0.00428987127701995
"15986","IH_N_SH_UH_R",3.66744093815584,0.669078831089183,7,0.00249163099628785
"15987","IH_N_SH_UH_R_AH_N_S",68.4588975122424,1.84172788568149,0,0.00881022478607671
"15988","IH_N_SH_UH_R_AH_N_S_AH_Z",2.34308726604401,0.524147713316086,0,0.0084320505813171
"15989","IH_N_SH_UH_R_AH_N_S_R_AH_L_EY_T_AH_D",0.101873359393218,0.0421316830119709,0,0.00856020426686229
"15990","IH_N_SH_UH_R_D",7.02926179813203,0.904675618537085,5,0.00245593148690485
"15991","IH_N_SH_UH_R_ER",0.91686023453896,0.282590447994732,4,0.00203622660617829
"15992","IH_N_SH_UH_R_ER_Z",1.52810039089827,0.402794315792102,2,0.00248061339984424
"15993","IH_N_SH_UH_R_IH_NG",1.22248031271861,0.346837922571143,1,0.00538445231746558
"15994","IH_N_SH_UH_R_Z",0.101873359393218,0.0421316830119709,5,0.00219108469828765
"15995","IH_N_T_AA_K_S_AH_K_EY_T_IH_NG",0.713113515752525,0.233786141501144,0,0.00677925789556202
"15996","IH_N_T_AA_L_ER_AH_B_AH_L",1.22248031271861,0.346837922571143,0,0.00612710143399237
"15997","IH_N_T_AA_L_ER_AH_N_S",0.713113515752525,0.233786141501144,1,0.00843687273046877
"15998","IH_N_T_AA_L_ER_AH_N_T",0.611240156359307,0.207160277109702,1,0.00916785748261467
"15999","IH_N_T_AE_K_T",1.83372046907792,0.45235700726485,1,0.00624156514039976
"16000","IH_N_T_AE_L_Y_OW",0.203746718786436,0.0805351163196006,0,0.00421359080759169
"16001","IH_N_T_AE_N_JH_AH_B_AH_L",0.101873359393218,0.0421316830119709,0,0.00676999916742066
"16002","IH_N_T_AH_F_AA_D_AH",0.305620078179653,0.115816820159466,0,0.00642819457415969
"16003","IH_N_T_AH_G_R_AH_L",3.25994750058297,0.629404246908444,0,0.00971437217856343
"16004","IH_N_T_AH_G_R_EY_SH_AH_N",5.29741468844733,0.799162292789836,0,0.00968125250782967
"16005","IH_N_T_AH_G_R_EY_T",9.77984250174891,1.03261241566324,1,0.00659826952306497
"16006","IH_N_T_AH_G_R_EY_T_AH_D",7.64050195449134,0.936538972772132,0,0.00733407791061594
"16007","IH_N_T_AH_G_R_EY_T_IH_NG",3.05620078179653,0.608119444418994,0,0.00788059508365369
"16008","IH_N_T_AH_G_R_EY_T_S",0.203746718786436,0.0805351163196006,1,0.00659083231105852
"16009","IH_N_T_AH_JH_ER",1.01873359393218,0.30507901021701,1,0.00695268388649366
"16010","IH_N_T_AH_JH_ER_Z",0.509366796966089,0.178794792155304,1,0.00657766113344038
"16011","IH_N_T_AH_L_EH_K_CH_UW_AH_L",7.84424867327777,0.946660945113601,2,0.00793727623043144
"16012","IH_N_T_AH_L_EH_K_CH_UW_AH_L_IY",1.32435367211183,0.366302210706376,2,0.00799384362928241
"16013","IH_N_T_AH_L_EH_K_CH_UW_AH_L_Z",1.32435367211183,0.366302210706376,2,0.00748682422580544
"16014","IH_N_T_AH_L_EH_K_T",5.29741468844733,0.799162292789836,1,0.0091168626422563
"16015","IH_N_T_AH_L_EH_K_T_S",0.509366796966089,0.178794792155304,1,0.00879460129035093
"16016","IH_N_T_AH_M_AH_S_IY",0.611240156359307,0.207160277109702,0,0.00866485136865568
"16017","IH_N_T_AH_M_AH_T",1.62997375029149,0.419951413827989,0,0.00962867183509502
"16018","IH_N_T_AH_M_AH_T_L_IY",1.1206069533254,0.326460181095508,0,0.0084678343612678
"16019","IH_N_T_AH_M_EY_SH_AH_N",0.101873359393218,0.0421316830119709,2,0.0109632263217807
"16020","IH_N_T_AH_M_EY_SH_AH_N_Z",0.203746718786436,0.0805351163196006,1,0.0103385074490882
"16021","IH_N_T_AH_M_EY_T_AH_D",0.305620078179653,0.115816820159466,0,0.00832265489991528
"16022","IH_N_T_AH_N_EY_SH_AH_N",0.91686023453896,0.282590447994732,1,0.0140874171682742
"16023","IH_N_T_EH_G_R_AH_T_IY",4.38055445390837,0.730827031031759,0,0.00678373388278576
"16024","IH_N_T_EH_L",0.407493437572871,0.148446378633484,0,0.00689720264162636
"16025","IH_N_T_EH_L_AH_JH_AH_B_AH_L",0.814986875145743,0.25887348883638,0,0.00669465365046366
"16026","IH_N_T_EH_L_AH_JH_AH_N_S",9.06672898599639,1.00288837679947,1,0.00881084504916172
"16027","IH_N_T_EH_L_AH_JH_AH_N_S_W_AY_Z",0.101873359393218,0.0421316830119709,0,0.00693188882344222
"16028","IH_N_T_EH_L_AH_JH_AH_N_T",13.4472834399048,1.15978619325372,1,0.00946060927329141
"16029","IH_N_T_EH_L_AH_K_CH_UW_AH_L_IH_Z_AH_M",0.101873359393218,0.0421316830119709,0,0.00544341496229369
"16030","IH_N_T_EH_L_IH_JH_AH_N_T_L_IY",0.203746718786436,0.0805351163196006,0,0.00840302972722871
"16031","IH_N_T_EH_N_CH_AH_N",19.8653050816775,1.31942473912299,2,0.00961588708336052
"16032","IH_N_T_EH_N_CH_AH_N_D",0.101873359393218,0.0421316830119709,2,0.00957486871894005
"16033","IH_N_T_EH_N_CH_AH_N_Z",5.50116140723376,0.812990948596129,2,0.0090814957563839
"16034","IH_N_T_EH_N_D",18.4390780501724,1.28867566351117,3,0.00828930248189931
"16035","IH_N_T_EH_N_D_AH_D",16.1978641435216,1.23547451386799,0,0.0081612076519887
"16036","IH_N_T_EH_N_D_IH_NG",7.23300851691847,0.915558564682598,0,0.0091446318007552
"16037","IH_N_T_EH_N_D_Z",2.03746718786436,0.482511595180388,1,0.00732471451420494
"16038","IH_N_T_EH_N_S",4.38055445390837,0.730827031031759,4,0.00786382974898357
